,client_id,birth_number,district_id,gender
0,1,1970-12-13,18,F
1,2,1945-02-04,1,M
2,3,1940-10-09,1,F
3,4,1956-12-01,5,M
4,5,1960-07-03,5,F
5,6,1919-09-22,12,M
6,7,1929-01-25,15,M
7,8,1938-02-21,51,F
8,9,1935-10-16,60,M
9,10,1943-05-01,57,M
10,11,1950-08-22,57,F
11,12,1981-02-20,40,M
12,13,1974-05-29,54,F
13,14,1942-06-22,76,F
14,15,1918-08-28,21,F
15,16,1919-02-25,21,M
16,17,1934-10-13,76,M
17,18,1931-04-05,76,F
18,19,1942-12-28,47,M
19,20,1979-01-04,46,M
20,21,1952-10-29,12,F
21,22,1969-10-11,1,F
22,23,1973-05-29,1,M
23,24,1939-07-29,43,F
24,25,1939-04-23,21,F
25,26,1969-04-20,74,F
26,27,1966-03-26,54,F
27,28,1945-09-29,1,M
28,29,1951-09-11,30,F
29,30,1957-10-09,74,F
30,31,1962-02-09,68,M
31,32,1980-07-28,52,M
32,33,1948-12-04,73,F
33,36,1978-07-17,7,F
34,37,1970-08-10,7,M
35,38,1973-07-23,36,F
36,39,1968-01-25,68,M
37,40,1957-01-22,5,F
38,41,1968-08-27,22,M
39,42,1935-08-17,68,M
40,43,1920-10-28,75,M
41,44,1977-01-11,38,F
42,45,1952-08-26,20,M
43,46,1940-01-30,19,F
44,47,1934-07-14,76,M
45,48,1940-02-09,16,M
46,49,1959-05-11,72,F
47,50,1978-07-30,39,F
48,51,1979-12-02,36,F
49,52,1924-12-12,32,M
50,53,1977-05-05,64,M
51,55,1948-09-18,45,F
52,56,1960-03-31,21,M
53,57,1961-12-17,21,F
54,58,1927-04-29,1,F
55,59,1957-02-18,1,M
56,60,1980-02-19,67,M
57,61,1948-08-06,16,F
58,62,1932-12-08,77,M
59,63,1959-06-04,4,M
60,64,1926-04-22,20,M
61,65,1943-05-27,50,F
62,66,1951-11-10,1,F
63,67,1932-11-11,29,F
64,68,1946-12-14,43,M
65,70,1925-12-22,70,M
66,71,1927-02-06,70,F
67,72,1923-01-13,47,M
68,73,1924-02-20,22,M
69,74,1925-07-26,22,F
70,75,1977-09-19,64,F
71,76,1967-10-01,36,F
72,77,1956-02-18,1,F
73,78,1944-06-13,16,F
74,79,1969-03-10,37,F
75,80,1979-02-25,64,F
76,81,1976-04-29,8,M
77,82,1979-12-25,8,F
78,83,1978-12-25,1,F
79,84,1979-05-05,1,M
80,85,1961-08-27,1,M
81,86,1969-07-20,1,F
82,87,1946-11-17,72,F
83,89,1951-05-05,1,F
84,90,1975-08-17,52,M
85,91,1940-08-07,63,M
86,92,1966-06-12,74,F
87,93,1925-02-16,3,M
